SG_UF,NM_MUNICIPIO,CD_TSE,CD_IBGE
RJ,ITABORAÍ,58378,3301900
RS,CANUDOS DO VALE,89109,4304614
RO,OURO PRETO DO OESTE,175,1100155
PI,TERESINA,12190,2211001
PR,JAGUAPITÃ,76317,4111902
PA,TUCURUÍ,5614,1508100
RN,CARAÚBAS,16454,2402303
CE,CAUCAIA,13730,2303709
SP,COTIA,63614,3513009
ES,CONCEIÇÃO DO CASTELO,56332,3201704
RJ,ANGRA DOS REIS,58017,3300100
PB,JOÃO PESSOA,20516,2507507
PR,SANTO ANTÔNIO DO SUDOESTE,78573,4124400
RJ,RIO DE JANEIRO,60011,3304557
MG,MARIANA,47996,3140001
PR,MANDAGUARI,76775,4114203
MG,SANTO ANTÔNIO DO JACINTO,52051,3160306
MG,MANHUAÇU,47872,3139409
MG,MATOZINHOS,48216,3141108
SE,JAPARATUBA,31658,2803302
RO,PORTO VELHO,35,1100205
CE,ARACOIABA,13234,2301208
RS,CAMPO BOM,85774,4303905
RS,CANOAS,85898,4304606
TO,BARROLÂNDIA,96997,1703107
SP,RIOLÂNDIA,69850,3544202
BA,BELMONTE,33677,2903409
RN,PUREZA,18074,2410405
PE,RECIFE,25313,2611606
MG,CARATINGA,42676,3113404
RS,SEBERI,89052,4320206
MA,HUMBERTO DE CAMPOS,7978,2105005
SP,SÃO BERNARDO DO CAMPO,70750,3548708
MG,NOVA ERA,48933,3144706
MS,ITAPORÃ,90891,5004502
SC,SÃO FRANCISCO DO SUL,83194,4216206
GO,PIRANHAS,95419,2707107
MT,SORRISO,98930,5107925
SP,BEBEDOURO,62219,3506102
BA,MARAÚ,37150,2920700
PR,COLOMBO,75132,4105805
PA,BONITO,4316,1501600
SC,JABORÁ,81698,4208609
RO,ALVORADA DO OESTE,337,1100346
BA,BARREIRAS,33634,2903201
MG,ARINOS,40894,3104502
MT,JUÍNA,98310,5105150
RJ,DUQUE DE CAXIAS,58335,3301702
BA,LAJE,36773,2918803
RS,PEJUÇARA,87890,4314308
PA,ELDORADO DOS CARAJÁS,4120,1502954
RS,CAMPINA DAS MISSÕES,85731,4303707
BA,ITIRUÇU,36390,2916906
MT,TANGARÁ DA SERRA,91855,5107958
ES,SERRA,56995,3205002
SC,JOINVILLE,81795,4209102
GO,CAIAPÔNIA,92878,5204409
SP,GUARULHOS,64777,3518800
MS,PEDRO GOMES,91278,5006408
MG,ITABIRITO,46370,3131901
SP,EMBU DAS ARTES,64017,3515004
RS,IJUÍ,87050,4310207
GO,SÃO MIGUEL DO ARAGUAIA,96016,5220207
MG,CAMPO BELO,42234,3111200
RJ,SÃO JOÃO DE MERITI,59013,3305109
RS,NOVO HAMBURGO,87718,4313409
BA,SANTA CRUZ CABRÁLIA,38555,2927705
PA,SANTARÉM,5355,1506807
SP,MAUÁ,66893,3529401
CE,QUIXELÔ,98531,2311355
MA,IMPERATRIZ,8036,2105302
RJ,CABO FRIO,58130,3300704
RN,CARNAUBAIS,16497,2402501
RS,PALMEIRA DAS MISSÕES,87777,4313706
RS,ITAARA,88382,4310538
RJ,MAGÉ,58491,3302502
RJ,CAMPOS DOS GOYTACAZES,58190,3301009
BA,IRAMAIA,35874,2914307
AL,FELIZ DESERTO,27537,2702702
PR,ITAMBARACÁ,76139,4111001
BA,SEABRA,38970,2929909
MT,JUARA,98191,5105101
PA,BELÉM,4278,1501402
BA,CARDEAL DA SILVA,34398,2907004
SP,CATANDUVA,63231,3511102
SP,IRACEMÁPOLIS,65293,3521408
PI,PAU DARCO DO PIAUÍ,12718,2207793
AP,MACAPÁ,6050,1600303
SP,OSASCO,67890,3534401
SP,SANTO ANDRÉ,70572,2513851
SP,NOVA ODESSA,67695,3533403
RS,ALVORADA,85111,1700707
SC,CAMBORIÚ,80616,4203204
PI,PARNAÍBA,11533,2207702
RJ,SÃO GONÇALO,58971,3304904
PR,MATELÂNDIA,76996,4115606
SP,TAQUARITUBA,71773,3553807
MA,SANTA LUZIA,8974,2110005
MG,CORONEL FABRICIANO,43877,3119401
ES,CACHOEIRO DE ITAPEMIRIM,56235,3201209
SP,SUMARÉ,71498,3552403
PA,MARITUBA,4642,1504422
SC,CRICIÚMA,80896,4204608
MS,BRASILÂNDIA,90450,5002308
MS,ANASTÁCIO,90131,5000708
PA,JURUTI,4774,1503903
MG,MUTUM,48798,3144003
SC,CORUPÁ,80870,4204509
BA,POÇÕES,38032,2925105
MG,MONTE CARMELO,48615,3143104
CE,FORTALEZA,13897,2304400
SP,SÃO JOSÉ DOS CAMPOS,70998,3549904
SP,FRANCA,64254,3516200
CE,MULUNGU,14834,2309102
MG,BRASILÂNDIA DE MINAS,40045,3108552
CE,CANINDÉ,13552,2302800
TO,BARRA DO OURO,73610,1703073
AP,LARANJAL DO JARI,6130,1600279
BA,VÁRZEA DA ROÇA,39977,2933059
SP,BARRETOS,62090,3505500
SP,RIBEIRÃO PRETO,69698,3543402
SC,VIDEIRA,83798,4219309
BA,VITÓRIA DA CONQUISTA,39659,2933307
PA,PARAGOMINAS,5096,1505502
BA,PAULO AFONSO,37818,2924009
RS,GUAPORÉ,86878,4309407
SP,SÃO JOSÉ DO RIO PRETO,70971,3549805
PA,NOVO PROGRESSO,4383,1505031
SC,CHAPECÓ,80810,4204202
PB,QUEIMADAS,21512,2512507
MA,MATÕES,8311,2106607
BA,SENHOR DO BONFIM,39012,2930105
GO,QUIRINÓPOLIS,95630,5218508
GO,CATALÃO,93017,5205109
AC,RIO BRANCO,1392,1200401
PA,PRIMAVERA,5215,1506104
PI,CONCEIÇÃO DO CANINDÉ,10553,2202802
MG,PERDÕES,49972,3149903
MG,UBERLÂNDIA,54038,3170206
PE,GOIANA,24236,2606200
SP,SUZANO,71510,3552502
RS,FELIZ,86592,4308102
SP,TARUMÃ,61042,3553955
MS,DEODÁPOLIS,91758,5003454
PR,SÃO JOÃO DO IVAÍ,78751,4125001
PI,ESPERANTINA,10731,1707405
ES,ARACRUZ,56111,3200607
MG,SETE LAGOAS,53430,3167202
GO,CACHOEIRA DOURADA,96733,3109808
RJ,SÃO PEDRO DA ALDEIA,59030,3305208
MG,SÃO THOMÉ DAS LETRAS,53031,3165206
MG,NEPOMUCENO,48917,3144607
RO,GUAJARÁ-MIRIM,19,1100106
MG,JANUÁRIA,47031,3135209
PA,CACHOEIRA DO ARARI,4391,1502004
MG,ITAOBIM,46655,3133303
SP,GUARUJÁ,64750,3518701
RR,BOA VISTA,3018,1400100
MG,BURITIZEIRO,41874,3109402
SP,PEDERNEIRAS,68357,3536703
SC,CAMPO ERÊ,80675,4203501
SP,PRAIA GRANDE,69213,3541000
MA,CENTRAL DO MARANHÃO,7420,2103125
PE,BEZERROS,23370,2601904
PR,SÃO JOSÉ DOS PINHAIS,78859,4125506
AM,BERURI,2950,1300631
SC,JACINTO MACHADO,81710,4208708
PA,SÃO JOÃO DO ARAGUAIA,5495,1507508
SP,ITATIBA,65692,3523404
SP,JARDINÓPOLIS,66036,3525102
SE,SÃO CRISTÓVÃO,32336,2806701
MG,CARMO DO CAJURU,42838,3114204
SP,CONCHAL,63452,3512209
PB,CAMPINA GRANDE,19810,2504009
MG,NOVA RESENDE,49018,3145109
PE,CARUARU,23817,2604106
SP,JUNDIAÍ,66192,3525904
BA,CAMAÇARI,34134,2905701
BA,CARINHANHA,34410,2907103
PE,PETROLINA,25216,2611101
PE,SANTA MARIA DA BOA VISTA,25518,2612604
RJ,MENDES,58556,3302809
SP,DIADEMA,63770,3513801
CE,GRAÇA,13064,2304657
PR,BRAGANEY,79839,4103354
BA,MALHADA,37052,2920205
MG,PRESIDENTE OLEGÁRIO,50679,3153400
GO,RUBIATABA,95737,5218904
RS,SANTA MARIA,88412,2409332
RN,CERRO CORÁ,16535,2402709
MA,GOVERNADOR EUGÊNIO BARROS,7897,2104602
MG,GOVERNADOR VALADARES,45535,3127701
GO,CAMPO LIMPO DE GOIÁS,93580,5204854
SP,IBITINGA,64939,3519600
MT,BARRA DO BUGRES,90336,5101704
SP,CAJAMAR,62855,3509205
GO,ITUMBIARA,94250,5211503
SP,ITAPUÍ,65595,3522901
BA,PORTO SEGURO,38075,2925303
AM,IRANDUBA,98353,1301852
SP,GUARÁ,64556,3517703
SP,BAURU,62197,3506003
MG,SANTA MARIA DE ITABIRA,51594,3158003
BA,ANDORINHA,33260,2901353
MG,BETIM,41335,3106705
MG,LAMBARI,47554,3137809
SP,PRESIDENTE PRUDENTE,69299,3541406
RJ,PETRÓPOLIS,58777,3303906
PB,MARI,20834,2509107
MG,ITUIUTABA,46833,3134202
RS,CANGUÇU,85871,4304507
MS,CAMPO GRANDE,90514,2402105
AL,PALMEIRA DOS ÍNDIOS,28258,2706307
MT,VÁRZEA GRANDE,91677,2211407
RS,SÃO LEOPOLDO,88773,4318705
PA,ACARÁ,4030,1500206
PR,LONDRINA,76678,4113700
PI,BAIXA GRANDE DO RIBEIRO,10049,2201150
SP,ITAPEVA,65498,3133600
MA,CAJARI,7471,2102507
PA,CANAÃ DOS CARAJÁS,4707,1502152
PE,SURUBIM,25895,2614501
BA,ITARANTIM,36374,2916807
AM,APUÍ,2003,1300144
BA,CANAVIEIRAS,34258,2906303
MT,CUIABÁ,90670,5103403
SP,JACAREÍ,65897,3524402
PA,BRASIL NOVO,4227,1501725
PA,SÃO FÉLIX DO XINGU,5452,1507300
SP,SETE BARRAS,71374,3551801
PB,PITIMBU,21393,2511905
AM,MAUÉS,2615,1302900
MA,GODOFREDO VIANA,7838,2104305
SC,SOMBRIO,83496,4217709
CE,ARATUBA,13277,2301406
RS,RESTINGA SÊCA,88137,4315503
PE,LAJEDO,24759,2608800
GO,GOIÂNIA,93734,5208707
MA,FORTUNA,7811,2104206
MG,CARMO DA CACHOEIRA,42773,3113909
SP,RANCHARIA,69450,3542206
BA,ANTAS,33316,2901601
MG,SANTA VITÓRIA,51950,3159803
MG,CONSELHEIRO LAFAIETE,43656,3118304
PR,PITANGA,77712,4119608
PB,RIO TINTO,21598,2512903
MG,BELO HORIZONTE,41238,3106200
SP,SÃO PEDRO,71099,2412708
CE,FORQUILHA,15911,2304350
CE,UBAJARA,15733,2313609
MG,SALINAS,51390,3157005
MG,SERRANIA,53376,3166907
PI,PADRE MARCOS,11436,2207207
MG,REDUTO,41424,3154150
PE,VITÓRIA DE SANTO ANTÃO,26271,2616407
PE,CAMARAGIBE,26298,2603454
AM,MANAUS,2550,1302603
SC,SUL BRASIL,80446,4217758
BA,MACAÚBAS,36978,2919801
BA,FEIRA DE SANTANA,35157,2910800
MG,ALTEROSA,40398,3102001
MA,BEQUIMÃO,7374,2101905
PE,LIMOEIRO,24775,2608909
PR,MARECHAL CÂNDIDO RONDON,76830,4114609
AM,COARI,2259,1301209
RS,SÃO VICENTE DO SUL,86754,4319802
ES,VIANA,57010,2112803
TO,FILADÉLFIA,93556,1707702
GO,GOIATUBA,93793,5209101
MA,CAXIAS,7579,2103000
MG,LUISLÂNDIA,41009,3138682
BA,BREJÕES,33855,2904308
RR,SÃO JOÃO DA BALIZA,3131,1400506
MG,ALÉM PARAÍBA,40290,3101508
BA,RIO DO ANTÔNIO,38377,2926806
MG,PIRAÚBA,50253,3151305
SP,PROMISSÃO,69337,3541604
MG,VIRGEM DA LAPA,54330,3171600
MA,ICATU,7994,2105104
SP,RIO CLARO,69795,3304409
PE,SERTÂNIA,25810,2614105
PB,JACARAÚ,20478,2507309
MG,LAGOA DA PRATA,47430,3137205
CE,JUAZEIRO DO NORTE,14478,2307304
CE,CAPISTRANO,13579,2302909
MS,JUTI,91820,5005152
MA,CHAPADINHA,7617,2103208
GO,PLANALTINA,95958,5217609
AM,MANACAPURU,2534,1302504
SP,ANDRADINA,61417,3502101
PI,SÃO JOÃO DO PIAUÍ,11991,2210003
RN,PASSA E FICA,17817,2409100
BA,RIACHÃO DO JACUÍPE,38270,2926301
RS,TORRES,89338,4321501
RJ,RIO BONITO,58858,3304300
SP,POÁ,68977,3539806
ES,AFONSO CLÁUDIO,56014,3200102
SP,PENÁPOLIS,68470,3537305
SP,BATATAIS,62170,3505906
CE,SÃO JOÃO DO JAGUARIBE,15512,2312502
RS,BUTIÁ,85537,4302709
PE,TORITAMA,26077,2615409
ES,CARIACICA,56251,3201308
MG,CACHOEIRA DE MINAS,41939,3109709
SC,LEBON RÉGIS,81914,4209706
BA,RIACHÃO DAS NEVES,38253,2926202
AL,SÃO MIGUEL DOS CAMPOS,28711,2708600
MG,SENHORA DO PORTO,53210,3166105
RN,PARNAMIRIM,17795,2403251
PI,IPIRANGA DO PIAUÍ,10952,2204808
SC,ASCURRA,80330,4201703
RN,PAU DOS FERROS,17876,2409407
RS,ELDORADO DO SUL,86240,4306767
PE,QUIPAPÁ,25291,2611507
ES,VILA VELHA,57037,3205200
BA,CONCEIÇÃO DO ALMEIDA,34657,2908309
RN,MACAU,17434,2407203
RJ,GUAPIMIRIM,58106,3301850
PE,FEIRA NOVA,24074,2605400
PE,SOLIDÃO,25879,2614402
MG,CARMO DO RIO CLARO,42870,3114402
SP,CAIEIRAS,62812,3509007
SP,ITANHAÉM,65439,3522109
MA,AMARANTE DO MARANHÃO,7110,2100600
BA,PRESIDENTE DUTRA,38130,2109106
RS,GUAÍBA,86851,4309308
RS,COLORADO,86096,4105904
PA,DOM ELISEU,5975,1502939
PR,MARINGÁ,76910,4115200
MA,ARAME,9679,2100956
PE,CATENDE,23833,2604205
SP,BARRINHA,62111,3505609
BA,SÃO FRANCISCO DO CONDE,38830,2929206
RO,ARIQUEMES,78,1100023
RJ,MARICÁ,58530,3302700
PB,ITATUBA,20451,2507200
BA,ANTÔNIO CARDOSO,33332,2901700
MG,CARAÍ,42595,3113008
BA,IGAPORÃ,35696,2913408
SP,ITAÍ,65374,3521804
SC,MARACAJÁ,83917,4210407
SP,MOTUCA,61069,3532058
BA,SERRA DO RAMALHO,39047,2930154
ES,VITÓRIA,57053,3205309
MG,TEÓFILO OTONI,53716,3168606
SP,BURI,62618,3508009
MA,SÃO MATEUS DO MARANHÃO,9237,2111508
PI,PORTO ALEGRE DO PIAUÍ,12599,2208551
CE,MARACANAÚ,15857,2307650
GO,PANAMÁ,95176,5216007
PA,NOVO REPARTIMENTO,4421,1505064
BA,IRAQUARA,35890,2914406
SE,ARACAJU,31054,2800308
PB,CRUZ DO ESPÍRITO SANTO,19992,2504900
PE,CABO DE SANTO AGOSTINHO,23574,2602902
MA,SÃO LUÍS,9210,2111300
MA,ANAPURUS,7153,2100808
MS,APARECIDA DO TABOADO,90190,5001003
PR,TELÊMACO BORBA,79154,4127106
AM,PRESIDENTE FIGUEIREDO,98418,1303536
CE,AQUIRAZ,13196,2301000
SC,HERVAL DOESTE,81310,4206702
BA,JUAZEIRO,36692,2918407
CE,VIÇOSA DO CEARÁ,15830,2314102
CE,ASSARÉ,13315,2301604
AC,PORTO WALTER,1066,1200393
SP,BRAGANÇA PAULISTA,62510,3507605
PR,PARANAGUÁ,77453,4118204
SP,SANTOS,70718,3548500
MG,SANTOS DUMONT,52132,3160702
PR,ENGENHEIRO BELTRÃO,75477,4107504
SC,PONTE SERRADA,82635,4213401
SP,CARAGUATATUBA,63118,3510500
RS,ESTÂNCIA VELHA,86495,4307609
MS,BATAYPORÃ,90395,5002001
MG,ÁGUAS VERMELHAS,40193,3101003
MG,VESPASIANO,54259,3171204
RS,SÃO GABRIEL,88692,2929255
RS,VIAMÃO,89630,4323002
PA,MARACANÃ,4855,1504307
BA,BOM JESUS DA LAPA,33774,2903904
SP,PIRACICABA,68756,3538709
ES,GUARAPARI,56472,3202405
PE,IGARASSU,24350,2606804
BA,RIO DO PIRES,38393,2926905
SP,MARÍLIA,66818,3529005
SE,ESTÂNCIA,31410,2802106
SP,ARUJÁ,61778,3503901
SP,MATÃO,66877,3529302
MG,FREI INOCÊNCIO,45373,3126901
PE,CUMARU,23973,2604908
MT,PONTAL DO ARAGUAIA,90700,5106653
MG,SANTO ANTÔNIO DO MONTE,52078,3160405
BA,TANHAÇU,39195,2931004
CE,IBARETAMA,14060,2305266
MS,JATEÍ,91014,5005103
SP,MOGI DAS CRUZES,67130,3530607
RS,ESTEIO,86517,4307708
GO,MORRINHOS,94730,2308906
MG,SÃO JOÃO DEL REI,52493,3162500
MG,BARRA LONGA,41130,3105707
PA,SENADOR JOSÉ PORFÍRIO,5550,1507805
PR,CASTRO,74950,4104907
GO,FORMOSA,93610,5208004
GO,CALDAS NOVAS,92894,5204508
CE,LIMOEIRO DO NORTE,14532,2307601
MG,BELO ORIENTE,41254,3106309
AL,PILAR,28371,2511509
CE,SÃO GONÇALO DO AMARANTE,15490,2312403
PR,CURITIBA,75353,4106902
RS,ARROIO DOS RATOS,85219,4301107
SP,GUARATINGUETÁ,64696,3518404
BA,SERRA DOURADA,39055,2930303
MG,RIBEIRÃO DAS NEVES,50911,3154606
RS,PELOTAS,87912,4314407
BA,LAJEDÃO,36790,2918902
BA,BAIANÓPOLIS,33499,2902500
MA,BARREIRINHAS,7331,2101707
SC,CANELINHA,80713,4203709
BA,PILÃO ARCADO,37893,2924405
MG,UBÁ,53970,3169901
PR,FAXINAL,75493,4107603
GO,JATAÍ,94331,5211909
SP,PINDAMONHANGABA,68616,3538006
MG,COROACI,43834,3119203
RJ,MANGARATIBA,58513,3302601
PA,IGARAPÉ-MIRI,4650,1503309
MA,AÇAILÂNDIA,9610,2100055
MG,ALFENAS,40312,3101607
MG,ARAPONGA,40738,3103702
AM,CARAUARI,2216,1301001
PB,SOUSA,22250,2516201
RJ,SÃO JOÃO DA BARRA,58998,3305000
MA,COROATÁ,7692,2103604
MT,VALE DE SÃO DOMINGOS,91022,5108352
SP,LEME,66354,3526704
MA,SANTA INÊS,9571,2109908
MG,MONTES CLAROS,48658,3143302
PI,PIRIPIRI,11673,2208403
SP,FERNANDO PRESTES,64130,3515608
RS,CACHOEIRINHA,85618,1703826
BA,CAMPO FORMOSO,34193,2906006
CE,BANABUIÚ,13382,2301851
SP,CARAPICUÍBA,63134,3510609
PB,GUARABIRA,20273,2506301
BA,TEIXEIRA DE FREITAS,39934,2931350
RS,PAROBÉ,98256,4314050
PE,PEDRA,25151,2610806
AL,CRAÍBAS,28894,2702355
RR,SÃO LUIZ,3158,1400605
MA,SÃO PEDRO DA ÁGUA BRANCA,8389,2111532
PE,RIBEIRÃO,25356,2611804
SP,LIMEIRA,66397,3526902
GO,PROFESSOR JAMIL,93041,5218391
BA,SANTA LUZIA,39870,2110005
MA,MATINHA,8290,2106508
TO,COLINAS DO TOCANTINS,93114,1705508
SP,ARAÇATUBA,61557,3502804
RS,AGUDO,85014,4300109
SC,JARAGUÁ DO SUL,81752,4208906
RS,SANTANA DO LIVRAMENTO,88455,4317103
PR,DIAMANTE DO SUL,74268,4107124
SP,SANTA BÁRBARA DOESTE,70173,3545803
PI,BARREIRAS DO PIAUÍ,10251,2201309
MG,TARUMIRIM,53678,3168408
RS,ALEGRETE,85073,4300406
MA,BALSAS,7277,2101400
SE,ITABAIANA,31577,2506905
SC,PALHOÇA,82333,4211900
MG,GUANHÃES,45594,3128006
BA,MURITIBA,37478,2922300
PI,FRONTEIRAS,10855,2204303
PE,CAPOEIRAS,23752,2603801
MG,ITAJUBÁ,46477,3132404
MT,RONDONÓPOLIS,91510,5107602
BA,ITAPICURU,36315,2916500
PA,BUJARU,4375,1501907
SP,PIRASSUNUNGA,68870,3539301
RN,NATAL,17612,2408102
GO,TRINDADE,96253,2615607
RS,SANTO ÂNGELO,88536,4317509
BA,ACAJUTIBA,33057,2900306
SP,JAGUARIÚNA,65951,3524709
PR,GOIOXIM,75388,4108650
RJ,BELFORD ROXO,58041,3300456
BA,VALENÇA,39578,2932903
BA,RAFAEL JAMBEIRO,39853,2925956
RJ,MESQUITA,58467,3141702
RS,GRAVATAÍ,86835,4309209
SC,ARARANGUÁ,80276,4201406
MA,GRAJAÚ,7935,2104800
PA,IGARAPÉ-AÇU,4634,1503200
CE,IBIAPINA,14079,2305308
SP,BURITAMA,62634,3508108
AP,PORTO GRANDE,6025,1600535
PA,CAMETÁ,4413,1502103
MA,JATOBÁ,7749,2105450
SC,BLUMENAU,80470,4202404
BA,LAURO DE FREITAS,36854,2919207
RS,SÃO LUIZ GONZAGA,88811,4318903
MG,PIRAPETINGA,50210,3151107
MG,SANTA LUZIA,51551,2110005
SP,SALTINHO,61441,3545159
PA,PRAINHA,5193,1506005
MG,TRÊS CORAÇÕES,53856,3169307
BA,ITAMBÉ,36170,2607653
MT,PRIMAVERA DO LESTE,98892,5107040
SC,ITAIÓPOLIS,81590,4208104
SP,SÃO PEDRO DO TURVO,71110,3550506
RN,IELMO MARINHO,16896,2404606
SP,BARUERI,62138,3505708
TO,BREJINHO DE NAZARÉ,92738,1703701
PI,CAPITÃO DE CAMPOS,10472,2202406
AC,CRUZEIRO DO SUL,1074,1200203
PI,LAGOINHA DO PIAUÍ,12432,2205540
RS,CAXIAS DO SUL,85995,4305108
RJ,SÃO FIDÉLIS,58955,3304805
PB,MAMANGUAPE,20796,2508901
PA,ABAETETUBA,4014,1500107
GO,SILVÂNIA,96091,5220603
MG,CAMPOS GERAIS,42315,3111606
ES,SÃO ROQUE DO CANAÃ,56162,3204955
SP,DOIS CÓRREGOS,63835,3514106
BA,TANQUE NOVO,39918,2931053
RS,SARANDI,89036,4126256
BA,APORÁ,33375,2901908
MG,SANTO ANTÔNIO DO GRAMA,52019,3160108
PB,SÃO BENTO,21792,2110500
MA,SANTA HELENA,8958,2109809
BA,CATU,34495,2907509
MA,MATA ROMA,8273,2106409
MT,CAMPINÁPOLIS,98655,5102603
MG,PERDIZES,49956,3149804
MG,CASCALHO RICO,42994,3115003
MG,CIPOTÂNEA,43257,3116308
BA,GUANAMBI,35335,2911709
PE,CAMOCIM DE SÃO FÉLIX,23698,2603504
PA,ANANINDEUA,4154,1500800
SP,VOTORANTIM,72435,3557006
MG,BOM SUCESSO,41599,2502300
MG,POCRANE,50377,3151909
SC,BOMBINHAS,80985,4202453
MG,BOM JESUS DO GALHO,41556,3107802
SP,EMBU-GUAÇU,64033,3515103
MS,AMAMBAI,90115,5000609
RS,RIO GRANDE,88153,4315602
PA,CAPANEMA,4430,1502202
PE,BODOCÓ,23396,2602001
MG,DIVINÓPOLIS,44458,3122306
PI,PIO IX,11630,2208205
RJ,NOVA IGUAÇU,58696,3303500
GO,NOVA AMÉRICA,94919,5214705
MG,POÇOS DE CALDAS,50350,3151800
MG,IGARAPÉ,46019,3130101
GO,CAMPINORTE,92932,5204706
RS,VISTA ALEGRE,85600,4323507
MG,FORMIGA,45217,3126109
MS,MIRANDA,91111,5005608
RN,CEARÁ-MIRIM,16519,2402600
MG,PAI PEDRO,41289,3146552
BA,IPIAÚ,35793,2913903
PR,PATO BRANCO,77518,4118501
MS,NOVA ALVORADA DO SUL,55000,5006002
PI,SANTA ROSA DO PIAUÍ,10464,2209377
PR,XAMBRÊ,79499,4128807
PI,BOQUEIRÃO DO PIAUÍ,12149,2201945
AC,TARAUACÁ,1473,1200609
BA,JEQUIÉ,36617,2918001
MG,PIUMHI,50296,3151503
MT,GUARANTÃ DO NORTE,99058,5104104
MG,PATOS DE MINAS,49590,3148004
PB,CACIMBA DE DENTRO,19712,2503506
CE,MORADA NOVA,14753,2308708
PR,GUARATUBA,75876,4109609
MS,CAARAPÓ,90557,5002407
SE,UMBAÚBA,32514,2807600
PR,PINHAIS,75043,4119152
PB,NATUBA,20990,2509909
PA,ÓBIDOS,5010,1505106
RS,TABAÍ,88722,4320859
TO,PALMAS,73440,1721000
RS,CARAZINHO,85910,4304705
ES,JOÃO NEIVA,56626,3203130
PI,PICOS,11592,2208007
MG,JUIZ DE FORA,47333,3136702
CE,EUSÉBIO,13226,2304285
PI,MILTON BRANDÃO,12246,2206357
ES,BAIXO GUANDU,56154,3200805
RS,SERAFINA CORRÊA,89095,4320404
PE,SÃO JOSÉ DA COROA GRANDE,25674,2613404
BA,CONCEIÇÃO DO JACUÍPE,34690,2908507
MA,CAROLINA,7536,2102804
MA,ALCÂNTARA,7030,2100204
RS,TRÊS PASSOS,89419,4321907
MG,FRANCISCÓPOLIS,40223,3126752
MT,BARÃO DE MELGAÇO,90310,5101605
RJ,ARARUAMA,58033,3300209
SP,INDAIATUBA,65110,3520509
CE,IGUATU,14117,2305506
MG,ITABIRA,46337,3131703
MG,NANUQUE,48852,3144300
PR,JACAREZINHO,76295,4111803
SP,BANANAL,61972,3504909
BA,IPIRÁ,35815,2914000
SC,BRUSQUE,80551,4202909
SP,AVANHANDAVA,61875,3504404
BA,IBIRAPITANGA,35556,2912707
PB,LAGOA DE DENTRO,20656,2508208
PE,CARPINA,23795,2604007
CE,QUIXERÉ,15318,2311504
BA,MADRE DE DEUS,39748,2919926
PR,APUCARANA,74250,4101408
MG,PEDRO LEOPOLDO,49859,3149309
PE,IPOJUCA,24430,2607208
MG,ELÓI MENDES,44717,3123601
SP,LINS,66435,3527108
SP,IACANGA,64831,3519105
SP,CABREÚVA,62693,3508405
